,dotmode,subj,lb,med,ub,delta
0,2d,huk,0.1902572159026285,0.34465112582380797,0.4996191938455757,0.34
1,3d,huk,-0.0023711741483187147,0.17154508659718726,0.3174916140999709,0.34
2,2d,klb,0.2831554804186188,0.4314316396507296,0.5770566744447628,0.34
3,3d,klb,0.2481281286029068,0.391499041823656,0.5480802801060821,0.34
4,2d,krm,0.3416486809791894,0.4930558273304483,0.651456886566477,0.34
5,3d,krm,-0.20641084806124185,0.024422393486820463,0.2555028035390217,0.34
6,2d,lkc,0.4717522610609701,0.6999798749191044,0.9747176134454232,0.34
7,3d,lkc,0.15871006391275486,0.3000959232982403,0.4736028548736138,0.34
8,2d,lnk,0.292483968743512,0.3893121431308128,0.48765407917933196,0.34
9,3d,lnk,0.002964140866875746,0.1811059892301416,0.36686826104404857,0.34
